scope,epoch,participant_address,model,stage,reason,actual_reward_gonka,candidate_loss_gonka,classification
strict_kimi,267,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Kimi,4122271,weight_and_guardian_shortfall,0.000000000,10262.057515369,eligible
strict_kimi_extension,265,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,Kimi,4102890,weight_and_guardian_shortfall,0.000000000,20896.527179100,extension_candidate
broader_cpoc_shortfall,265,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,Qwen,4102890,weight_and_guardian_shortfall,0.000000000,4154.662338515,broad_policy_candidate
