participant_address,kimi_voting_power,root_weight,kimi_weight,submitted_kimi_cpoc1,kimi_validations_made_cpoc1,actual_reward_gonka,full_weight_expected_gonka,full_weight_gap_gonka,candidate_note,kimi_nodes_json
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,159432,43633,2114,False,0,17203.326258,22941.098246,5737.771988,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""B9"", ""poc_weight"": ""1057""}, {""node_id"": ""U11"", ""poc_weight"": ""1057""}]"
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,15605,15605,5738,True,0,5243.544400,8204.703736,2961.159336,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""ml-mo"", ""poc_weight"": ""5738""}]"
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,7068,5403,11716,False,0,2835.499343,2840.757083,5.257740,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""mlnode-201"", ""poc_weight"": ""11716""}]"
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4050,4050,11505,False,0,2129.384821,2129.384821,0.000000,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""node802"", ""poc_weight"": ""5739""}, {""node_id"": ""node812"", ""poc_weight"": ""5766""}]"
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,3083,3083,2592,False,19,1614.126272,1620.961334,6.835062,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""node2-4xB200"", ""poc_weight"": ""2592""}]"
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,2153,2153,6117,False,0,1131.991486,1131.991486,0.000000,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""node606"", ""poc_weight"": ""6117""}]"
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,2061,2061,5855,False,0,1083.620276,1083.620276,0.000000,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""node218"", ""poc_weight"": ""5855""}]"
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,1087,1087,3087,False,0,571.516370,571.516370,0.000000,cPoC #1 Kimi subgroup member with no Kimi commit or no Kimi validation rows; causal preserved-node status still requires validator confirmation,"[{""node_id"": ""node1"", ""poc_weight"": ""3087""}]"
